chapterId,title,module,prerequisites,baseline,contentSource,requiredTopics,coveredTopics,examples,runnableExamples,exercises,diagnostics,projects,primarySources,factualReview,pedagogicalReview,finalStatus
"kafka","Kafka na prática","messaging-eda","messaging-model|compose","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"spring-kafka","Spring Kafka — integração","messaging-eda","kafka|di|json","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"kafka-confiavel","Kafka confiável: schemas, retries, DLT, outbox e exactly-once","messaging-eda","spring-kafka|jpa-transacoes","java21-springboot35","legacy-html","0","0","2","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"event-driven-profundo","Arquitetura Event-Driven & Internals do Kafka — Aprofundamento","messaging-eda","kafka|mensageria|arquitetura-software","java21-springboot35","legacy-html","0","0","5","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"testes-integracao-avancados","Testes de Integração Avançados: @SpringBootTest, @DataJpaTest & Testcontainers com Kafka","messaging-eda","testcontainers|mockito|spring-kafka","java21-springboot35","legacy-html","0","0","3","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"sistemas-distribuidos","Sistemas Distribuídos: CAP & trade-offs de arquitetura sênior","distributed-consistency","arquitetura-software|mensageria|hospedagem-db|resilience","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"consistencia-distribuida","Consistência distribuída: CAP correto, PACELC, tempo e resiliência","distributed-consistency","sistemas-distribuidos|resilience","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"outbox-inbox","Transactional Outbox e Inbox","distributed-consistency","consistencia-distribuida|delivery-failure-lab|jdbc-under-the-hood","java21-springboot35","structured-typescript","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"saga-schema-ordering","Saga, evolução de eventos e ordering","distributed-consistency","outbox-inbox|ddd-estrategico","java21-springboot35","structured-typescript","0","0","0","0","1","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mini-pedidos-eventos","Mini-projeto: pedidos orientados a eventos","distributed-consistency","saga-schema-ordering|async-integration-tests|event-driven-profundo","java21-springboot35","legacy-html","0","0","0","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"code-review-adr","Code Review & Architecture Decision Records","professional-final","git|clean-code|arquitetura-software","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"agile","Metodologias Ágeis: Scrum & Kanban","professional-final","git|projeto|code-review-adr","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"mapa-sistema","Glossário & mapa do sistema completo","professional-final","mini-pedidos-eventos|deploy-frontend|code-review-adr","java21-springboot35","legacy-html","0","0","1","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"projeto-integrador","Projeto final — sistema completo de ponta a ponta","professional-final","mapa-sistema|mini-pedidos-eventos|mini-deploy-observavel|code-review-adr","java21-springboot35","legacy-html","0","0","1","0","0","0","1","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
"quiz","Quiz de revisão","professional-final","projeto-integrador|mapa-sistema","java21-springboot35","legacy-html","0","0","0","0","1","0","0","0","pending","pending","structurally-approved-not-yet-editorially-reviewed"
